iter	Passed	Remaining
0	82	82485
1	97	48641
2	114	37918
3	129	32312
4	142	28449
5	157	26029
6	173	24643
7	186	23154
8	199	21965
9	215	21379
10	229	20651
11	242	19967
12	255	19389
13	271	19105
14	283	18621
15	298	18336
16	314	18182
17	328	17920
18	341	17647
19	354	17373
20	369	17244
21	384	17080
22	398	16911
23	415	16877
24	432	16868
25	447	16774
26	464	16747
27	478	16605
28	493	16518
29	508	16454
30	524	16403
31	537	16268
32	550	16143
33	566	16083
34	579	15972
35	591	15848
36	605	15750
37	621	15723
38	634	15632
39	647	15549
40	664	15549
41	677	15457
42	692	15404
43	708	15385
44	723	15349
45	738	15309
46	750	15222
47	766	15206
48	781	15164
49	797	15156
50	826	15384
51	855	15593
52	888	15879
53	915	16040
54	939	16136
55	981	16539
56	1045	17291
57	1076	17482
58	1105	17625
59	1136	17801
60	1165	17934
61	1191	18023
62	1221	18170
63	1254	18341
64	1277	18373
65	1291	18279
66	1314	18310
67	1336	18314
68	1358	18333
69	1375	18274
70	1389	18177
71	1409	18172
72	1423	18078
73	1438	18006
74	1466	18083
75	1489	18107
76	1527	18314
77	1565	18504
78	1588	18516
79	1619	18626
80	1654	18775
81	1679	18796
82	1705	18843
83	1721	18771
84	1734	18673
85	1752	18630
86	1766	18535
87	1779	18446
88	1816	18590
89	1836	18570
90	1854	18526
91	1866	18422
92	1881	18350
93	1901	18328
94	1915	18244
95	1929	18170
96	1949	18145
97	1964	18078
98	1977	17995
99	1989	17902
100	2008	17876
101	2020	17792
102	2033	17710
103	2052	17681
104	2065	17610
105	2080	17549
106	2098	17513
107	2111	17442
108	2125	17375
109	2139	17313
110	2156	17271
111	2169	17204
112	2183	17137
113	2201	17112
114	2217	17063
115	2230	17001
116	2251	16991
117	2263	16918
118	2276	16856
119	2297	16846
120	2311	16794
121	2325	16736
122	2346	16734
123	2360	16674
124	2373	16612
125	2384	16540
126	2400	16499
127	2412	16436
128	2425	16377
129	2439	16322
130	2452	16270
131	2464	16205
132	2477	16150
133	2493	16115
134	2507	16067
135	2520	16015
136	2534	15963
137	2549	15925
138	2562	15874
139	2575	15819
